county_num_2020,county_name_2020,muni_num_2020,muni_name_2020,muni_name_2019,muni_num_2019,muni_name_2018,muni_num_2018,muni_name_2017,muni_num_2017,muni_name_2016,muni_num_2016,muni_name_2015,muni_num_2015,muni_name_2014,muni_num_2014,muni_name_2013,muni_num_2013,muni_name_2012,muni_num_2012,muni_num_2011,muni_name_2011
3,OSLO,301,OSLO,OSLO,301,OSLO,301,OSLO,301,OSLO,301,OSLO,301,OSLO,301,OSLO,301,OSLO,301,301,OSLO
11,ROGALAND,1101,EIGERSUND,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,EIGERSUND,1101,1101,EIGERSUND
11,ROGALAND,1103,STAVANGER,FINNØY,1141,FINNØY,1141,FINNØY,1141,FINNØY,1141,FINNØY,1141,FINNØY,1141,FINNØY,1141,FINNØY,1141,1141,FINNØY
11,ROGALAND,1103,STAVANGER,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,RENNESØY,1142,1142,RENNESØY
11,ROGALAND,1106,HAUGESUND,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,HAUGESUND,1106,1106,HAUGESUND
11,ROGALAND,1108,SANDNES,SANDNES,1102,SANDNES,1102,SANDNES,1102,SANDNES,1102,SANDNES,1102,SANDNES,1102,SANDNES,1102,SANDNES,1102,1102,SANDNES
11,ROGALAND,1108,SANDNES,FORSAND,1129,FORSAND,1129,FORSAND,1129,FORSAND,1129,FORSAND,1129,FORSAND,1129,FORSAND,1129,FORSAND,1129,1129,FORSAND
11,ROGALAND,1111,SOKNDAL,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,SOKNDAL,1111,1111,SOKNDAL
11,ROGALAND,1112,LUND,LUND,1112,LUND,1112,LUND,1112,LUND,1112,LUND,1112,LUND,1112,LUND,1112,LUND,1112,1112,LUND
11,ROGALAND,1114,BJERKREIM,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,BJERKREIM,1114,1114,BJERKREIM
11,ROGALAND,1119,HÅ,HÅ,1119,HÅ,1119,HÅ,1119,HÅ,1119,HÅ,1119,HÅ,1119,HÅ,1119,HÅ,1119,1119,HÅ
11,ROGALAND,1120,KLEPP,KLEPP,1120,KLEPP,1120,KLEPP,1120,KLEPP,1120,KLEPP,1120,KLEPP,1120,KLEPP,1120,KLEPP,1120,1120,KLEPP
11,ROGALAND,1121,TIME,TIME,1121,TIME,1121,TIME,1121,TIME,1121,TIME,1121,TIME,1121,TIME,1121,TIME,1121,1121,TIME
11,ROGALAND,1122,GJESDAL,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,GJESDAL,1122,1122,GJESDAL
11,ROGALAND,1124,SOLA,SOLA,1124,SOLA,1124,SOLA,1124,SOLA,1124,SOLA,1124,SOLA,1124,SOLA,1124,SOLA,1124,1124,SOLA
11,ROGALAND,1127,RANDABERG,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,RANDABERG,1127,1127,RANDABERG
11,ROGALAND,1130,STRAND,STRAND,1130,STRAND,1130,STRAND,1130,STRAND,1130,STRAND,1130,STRAND,1130,STRAND,1130,STRAND,1130,1130,STRAND
11,ROGALAND,1133,HJELMELAND,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,HJELMELAND,1133,1133,HJELMELAND
11,ROGALAND,1134,SULDAL,SULDAL,1134,SULDAL,1134,SULDAL,1134,SULDAL,1134,SULDAL,1134,SULDAL,1134,SULDAL,1134,SULDAL,1134,1134,SULDAL
